pitches,onsets,durations,notes,staff_id,string,st3_dist_atk,st3_rests
[54],72338,113,['f#3'],down,[6],112,0
[65],72451,112,['f4'],down,[4],113,0
[59],72563,113,['b3'],down,[5],112,0
[71],72676,112,['b4'],down,[2],113,0
[62],72788,113,['d4'],down,[4],112,0
[76],72901,200,['e5'],down,[2],113,0
[76],73101,200,['e5'],down,[1],200,0
[76],73301,200,['e5'],down,[2],200,5
[76],73506,200,['e5'],down,[1],205,0
[73],73706,200,['c#5'],down,[3],200,1020
[79],74926,200,['g5'],down,[3],1220,405
[63],75531,200,['ef4'],down,[6],605,407
[62],76138,268,['d4'],down,[5],607,0
[66],76406,270,['f#4'],down,[5],268,0
[84],76676,267,['c6'],down,[2],270,150
[88],76951,2634,['e6'],up,[1],0,0
"[71, 69, 62, 58, 54]",77093,142,"['b4', 'a4', 'd4', 'bf3', 'f#3']",down,"[2, 3, 4, 5, 6]",417,1014
[76],78221,562,['e5'],center,[6],0,0
[66],78249,86,['f#4'],down,[5],1156,0
[65],78335,85,['f4'],down,[5],86,0
[67],78420,85,['g4'],down,[3],85,0
[68],78505,85,['g#4'],down,[3],85,1392
[66],79982,142,['f#4'],down,[5],1477,9
[68],80133,142,['g#4'],down,[5],151,0
[71],80275,142,['b4'],down,[4],142,866
[64],80465,3367,['e4'],up,[6],0,0
[93],81190,2983,['a6'],center,[4],0,0
[68],81283,319,['g#4'],down,[3],1008,8
[58],81610,108,['bf3'],down,[5],327,6
[62],81724,227,['d4'],down,[5],114,0
[62],81951,228,['d4'],down,[5],227,0
[62],82179,298,['d4'],down,[5],228,0
[62],82477,298,['d4'],down,[5],298,824
[79],83599,341,['g5'],down,[3],1122,1051
[88],83832,1847,['e6'],up,[1],0,0
[90],84173,8085,['f#6'],center,[4],0,0
[57],84991,199,['a3'],down,[5],1392,6
[78],85196,198,['f#5'],down,[2],205,9
[73],85403,199,['c#5'],down,[3],207,6
[62],85608,198,['d4'],down,[5],205,12736
[95],85943,1846,['b6'],up,[1],0,0
[74],92258,9651,['d5'],center,[4],0,0
[58],98542,284,['bf3'],down,[5],12934,0
[61],98826,577,['c#4'],down,[5],284,0
[69],99403,253,['a4'],down,[3],577,9
[77],99665,1343,['f5'],down,[1],262,0
[70],101008,608,['bf4'],down,[3],1343,9
[80],101625,1079,['g#5'],down,[1],617,157
[57],102861,1619,['a3'],down,[5],1236,0
[72],104480,213,['c5'],down,[3],1619,0
[66],104693,605,['f#4'],down,[4],213,6
"[73, 69, 62, 59]",105304,776,"['c#5', 'a4', 'd4', 'b3']",down,"[2, 3, 4, 5]",611,511
[78],106591,253,['f#5'],down,[2],1287,8
[86],106852,256,['d6'],down,[1],261,0
[83],107108,1029,['b5'],down,[1],256,0
[65],108137,173,['f4'],down,[5],1029,167
[60],108477,171,['c4'],down,[5],340,8
[69],108656,146,['a4'],down,[4],179,0
[62],108802,149,['d4'],down,[5],146,0
[72],108951,149,['c5'],down,[3],149,0
[73],109100,146,['c#5'],down,[3],149,295
[84],109541,146,['c6'],down,[2],441,11
[69],109698,145,['a4'],down,[5],157,150
[63],109993,295,['ef4'],down,[6],295,149
[84],110437,1424,['c6'],down,[1],444,7
[69],111868,173,['a4'],down,[4],1431,184
[80],112180,11980,['g#5'],center,[6],0,0
"[85, 75, 71, 62]",112225,355,"['c#6', 'ef5', 'b4', 'd4']",down,"[1, 3, 2, 4]",357,357
"[74, 68, 63]",112937,354,"['d5', 'g#4', 'ef4']",down,"[2, 3, 4]",712,365
"[71, 68, 67, 57]",113656,354,"['b4', 'g#4', 'g4', 'a3']",down,"[2, 4, 3, 5]",719,1938
"[74, 64, 61]",115948,1041,"['d5', 'e4', 'c#4']",down,"[2, 4, 5]",2292,0
[86],116295,5601,['d6'],up,[3],0,0
[79],116989,417,['g5'],down,[1],1041,0
[80],117406,833,['g#5'],down,[1],417,0
[82],118239,834,['bf5'],down,[1],833,0
[69],119073,3698,['a4'],down,[4],834,191
[95],121896,2253,['b6'],up,[1],0,0
[66],122962,278,['f#4'],down,[5],3889,0
[65],123240,277,['f4'],down,[5],278,4132
[79],126625,4295,['g5'],center,[3],0,0
"[71, 51, 59, 56]",127649,684,"['b4', 'ef3', 'b3', 'g#3']",down,"[2, 4, 5, 6]",4409,0
[88],129663,2003,['e6'],up,[1],0,0
